code,short_description,long_description,is_billable,organ_system,criteria_type
C00,0 Malignant neoplasm of lip,Malignant neoplasm of lip,False,general,contraindication
C00.0,1 Malignant neoplasm of external upper lip,Malignant neoplasm of external upper lip,False,general,contraindication
C00.1,1 Malignant neoplasm of external lower lip,Malignant neoplasm of external lower lip,False,general,contraindication
C00.2,"1 Malignant neoplasm of external lip, unspecified","Malignant neoplasm of external lip, unspecified",False,general,contraindication
C00.3,"1 Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm of upper lip, inner aspect",False,general,contraindication
C00.4,"1 Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm of lower lip, inner aspect",False,general,contraindication
C00.5,"1 Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm of lip, unspecified, inner aspect",False,general,contraindication
C00.6,"1 Malignant neoplasm of commissure of lip, unspecified","Malignant neoplasm of commissure of lip, unspecified",False,general,contraindication
C00.8,1 Malignant neoplasm of overlapping sites of lip,Malignant neoplasm of overlapping sites of lip,False,general,contraindication
C00.9,"1 Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip, unspecified",False,general,contraindication
C01,1 Malignant neoplasm of base of tongue,Malignant neoplasm of base of tongue,False,general,contraindication
C02,0 Malignant neoplasm of other and unspecified parts of tongu,e  Malignant neoplasm of other and unspecified parts of tongue,False,general,contraindication
C02.0,1 Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm of dorsal surface of tongue,False,general,contraindication
C02.1,1 Malignant neoplasm of border of tongue,Malignant neoplasm of border of tongue,False,general,contraindication
C02.2,1 Malignant neoplasm of ventral surface of tongue,Malignant neoplasm of ventral surface of tongue,False,general,contraindication
C02.3,"1 Malig neoplasm of anterior two-thirds of tongue, part unsp","Malignant neoplasm of anterior two-thirds of tongue, part unspecified",False,general,contraindication
C02.4,1 Malignant neoplasm of lingual tonsil,Malignant neoplasm of lingual tonsil,False,general,contraindication
C02.8,1 Malignant neoplasm of overlapping sites of tongue,Malignant neoplasm of overlapping sites of tongue,False,general,contraindication
C02.9,"1 Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified",False,general,contraindication
C03,0 Malignant neoplasm of gum,Malignant neoplasm of gum,False,general,contraindication
C03.0,1 Malignant neoplasm of upper gum,Malignant neoplasm of upper gum,False,general,contraindication
C03.1,1 Malignant neoplasm of lower gum,Malignant neoplasm of lower gum,False,general,contraindication
C03.9,"1 Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified",False,general,contraindication
C04,0 Malignant neoplasm of floor of mouth,Malignant neoplasm of floor of mouth,False,general,contraindication
C04.0,1 Malignant neoplasm of anterior floor of mouth,Malignant neoplasm of anterior floor of mouth,False,general,contraindication
C04.1,1 Malignant neoplasm of lateral floor of mouth,Malignant neoplasm of lateral floor of mouth,False,general,contraindication
C04.8,1 Malignant neoplasm of overlapping sites of floor of mouth,Malignant neoplasm of overlapping sites of floor of mouth,False,general,contraindication
C04.9,"1 Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth, unspecified",False,general,contraindication
C05,0 Malignant neoplasm of palate,Malignant neoplasm of palate,False,general,contraindication
C05.0,1 Malignant neoplasm of hard palate,Malignant neoplasm of hard palate,False,general,contraindication
C05.1,1 Malignant neoplasm of soft palate,Malignant neoplasm of soft palate,False,general,contraindication
C05.2,1 Malignant neoplasm of uvula,Malignant neoplasm of uvula,False,general,contraindication
C05.8,1 Malignant neoplasm of overlapping sites of palate,Malignant neoplasm of overlapping sites of palate,False,general,contraindication
C05.9,"1 Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified",False,general,contraindication
C06,0 Malignant neoplasm of other and unspecified parts of mouth,Malignant neoplasm of other and unspecified parts of mouth,False,general,contraindication
C06.0,1 Malignant neoplasm of cheek mucosa,Malignant neoplasm of cheek mucosa,False,general,contraindication
C06.1,1 Malignant neoplasm of vestibule of mouth,Malignant neoplasm of vestibule of mouth,False,general,contraindication
C06.2,1 Malignant neoplasm of retromolar area,Malignant neoplasm of retromolar area,False,general,contraindication
C06.8,0 Malignant neoplasm of ovrlp sites of and unsp parts of mou,th Malignant neoplasm of overlapping sites of other and unspecified parts of mouth,False,general,contraindication
C06.80,1 Malignant neoplasm of ovrlp sites of unsp parts of mouth,Malignant neoplasm of overlapping sites of unspecified parts of mouth,False,general,contraindication
C06.89,1 Malignant neoplasm of overlapping sites of oth prt mouth,Malignant neoplasm of overlapping sites of other parts of mouth,False,general,contraindication
C06.9,"1 Malignant neoplasm of mouth, unspecified","Malignant neoplasm of mouth, unspecified",False,general,contraindication
C07,1 Malignant neoplasm of parotid gland,Malignant neoplasm of parotid gland,False,general,contraindication
C08,0 Malignant neoplasm of other and unsp major salivary glands,Malignant neoplasm of other and unspecified major salivary glands,False,general,contraindication
C08.0,1 Malignant neoplasm of submandibular gland,Malignant neoplasm of submandibular gland,False,general,contraindication
